Year   Age   Cohort      Female        Male       Total
 1924   51      1873   135142.35   126629.71   261772.06
 1924   51      1872   134849.75   126009.08   260858.84
 1924   52      1872   133453.53   124589.87   258043.40
 1924   52      1871   131552.95   122531.34   254084.29
 1924   53      1871   129697.99   120706.11   250404.10
 1924   53      1870   123348.35   115146.68   238495.02
 1924   54      1870   122014.98   113567.50   235582.47
 1924   54      1869   112121.83   105993.15   218114.98
 1924   55      1869   110818.68   104486.54   215305.22
 1924   55      1868   112509.03   104104.38   216613.40
 1924   56      1868   111301.38   102773.40   214074.78
 1924   56      1867   108970.16    99909.13   208879.29
 1924   57      1867   107929.40    98655.77   206585.16
 1924   57      1866   104350.80    95102.36   199453.16
 1924   58      1866   103455.03    93961.83   197416.86
 1924   58      1865   100122.78    91449.21   191571.99
 1924   59      1865    99338.17    90148.27   189486.43
 1924   59      1864    95041.87    86960.37   182002.23
 1924   60      1864    94027.00    85455.14   179482.13
 1924   60      1863    92456.79    83458.99   175915.79
 1924   61      1863    91442.78    82129.79   173572.57
 1924   61      1862    89570.38    80081.05   169651.43
 1924   62      1862    88406.85    78606.84   167013.68
 1924   62      1861    86811.86    76609.65   163421.51
 1924   63      1861    85349.77    74824.35   160174.12
 1924   63      1860    81671.72    71355.77   153027.48
 1924   64      1860    80504.50    69658.77   150163.26
 1924   64      1859    72527.08    63263.57   135790.66
 1924   65      1859    71619.75    61834.02   133453.77
 1924   65      1858    71275.91    60438.69   131714.59
 1924   66      1858    70143.21    59022.38   129165.59
 1924   66      1857    68451.90    57579.87   126031.77
 1924   67      1857    67320.91    56242.86   123563.77
 1924   67      1856    66701.10    55769.35   122470.45
 1924   68      1856    65295.02    54137.32   119432.34
 1924   68      1855    62705.88    51720.12   114425.99
 1924   69      1855    61154.42    49976.68   111131.10
 1924   69      1854    56334.97    45813.20   102148.16
 1924   70      1854    54916.10    44179.04    99095.14
 1924   70      1853    53615.80    42993.51    96609.31
 1924   71      1853    51825.09    41063.02    92888.11
 1924   71      1852    51729.30    40759.95    92489.25
 1924   72      1852    49538.58    38551.11    88089.69
